match_id,gold_diff_10,cs_diff_10,kills_diff_10,assists_diff_10,towers_diff_10,dragons_diff_10,blue_win
NA1_5283812129,487,10,1,0,0,0,1
NA1_5275545921,-2406,10,-7,-9,0,-1,0
NA1_5275516124,177,-16,3,1,0,1,1
NA1_5275498102,-2256,13,-4,-2,0,0,0
NA1_5275466678,2367,51,1,2,0,-1,1
NA1_5275439358,-1745,-2,-4,-4,0,-1,0
NA1_5275407721,-1447,-12,-3,-1,0,-1,0
NA1_5274220581,1392,12,4,5,0,1,1
NA1_5274204130,-3167,-29,-5,-3,0,0,0
NA1_5272949963,715,7,1,3,0,-1,0
NA1_5272922361,2339,0,3,6,0,-1,0
NA1_5272155425,-292,-28,1,0,0,-1,0
NA1_5272133868,2573,5,5,5,0,-1,1
NA1_5272108003,-1014,-20,-1,-3,0,-1,1
NA1_5272081819,1970,-41,7,13,0,1,1
NA1_5272063476,4914,23,10,15,0,1,1
NA1_5272035084,-1258,-27,-2,-4,0,0,0
NA1_5272012044,-262,8,-1,-2,0,0,1
NA1_5271344060,3128,27,6,4,0,0,1
NA1_5271316543,1537,23,1,3,0,-1,0
NA1_5283794933,1802,38,3,3,0,1,1
NA1_5283767657,-1775,-34,-4,-1,0,-1,0
NA1_5283752629,-2249,-62,-4,2,0,-1,0
NA1_5283725476,0,21,-1,-1,0,0,0
NA1_5283712827,-85,0,0,-2,0,-1,0
NA1_5283690725,233,23,1,0,0,1,1
NA1_5283675175,-145,-45,0,-3,0,0,1
NA1_5282710135,-685,-47,0,-2,0,1,0
NA1_5282683082,1899,71,1,2,0,0,1
NA1_5282662288,-3547,-32,-9,-10,0,-1,0
NA1_5281480137,-1442,2,-5,-6,0,0,0
NA1_5281446237,2707,-7,8,8,0,1,1
NA1_5281418815,-459,-5,0,0,0,-1,0
NA1_5280839387,-1761,-1,-8,-11,0,-1,0
NA1_5280800003,-550,-5,-3,-1,0,1,1
NA1_5280766512,496,-1,-1,-2,0,0,0
NA1_5280736341,1016,35,0,0,0,-1,1
NA1_5280716573,1095,22,2,-1,0,-1,1
NA1_5280709897,25,1,0,0,0,0,1
NA1_5279327144,2054,63,2,-4,0,1,1
NA1_5283337041,-1069,-19,-2,3,0,0,1
NA1_5283310957,-687,-30,-2,3,0,0,0
NA1_5274886177,-2539,-40,-2,-1,0,1,0
NA1_5274862001,274,7,1,0,0,1,1
NA1_5271556220,2687,9,6,7,0,0,1
NA1_5271471276,1451,1,4,5,0,1,1
NA1_5252537720,-1734,-42,-3,-2,0,-1,0
NA1_5252316236,1078,7,1,4,0,-1,0
NA1_5252291724,1194,-25,5,6,0,0,0
NA1_5252257328,2521,48,5,-3,0,0,1
NA1_5252228819,288,-8,1,1,0,-1,1
NA1_5252182148,-1832,22,-5,-8,0,1,0
NA1_5252149123,-326,-55,0,1,0,0,1
NA1_5251578516,662,7,0,3,0,0,1
NA1_5251352525,-860,-24,-2,-2,0,-1,0
NA1_5251340959,106,-11,-2,-3,0,-1,0
NA1_5251327630,215,44,-1,-2,0,1,1
NA1_5251317857,-511,10,-1,-3,0,-1,1
NA1_5251305281,-808,-22,-2,-5,0,-1,0
NA1_5251294098,-669,-23,1,0,0,-1,1
NA1_5275545921,-2406,10,-7,-9,0,-1,0
NA1_5275516124,177,-16,3,1,0,1,1
NA1_5275498102,-2256,13,-4,-2,0,0,0
NA1_5275466678,2367,51,1,2,0,-1,1
NA1_5275439358,-1745,-2,-4,-4,0,-1,0
NA1_5275407721,-1447,-12,-3,-1,0,-1,0
NA1_5275270855,-2697,-38,-3,0,0,1,0
NA1_5275257580,-408,-1,-1,-2,0,0,1
NA1_5275234240,-1079,-31,-1,-2,0,1,0
NA1_5275225966,2910,61,4,0,0,0,1
NA1_5275200122,107,-9,2,-2,0,-1,0
NA1_5274220581,1392,12,4,5,0,1,1
NA1_5274204130,-3167,-29,-5,-3,0,0,0
NA1_5272995182,-396,54,-2,-3,0,0,1
NA1_5272982590,2559,64,2,5,0,0,1
NA1_5272967380,-803,64,-3,-5,0,1,0
NA1_5272949963,715,7,1,3,0,-1,0
NA1_5272922361,2339,0,3,6,0,-1,0
NA1_5272566651,-3590,-32,-7,-10,0,-1,0
NA1_5272545567,-193,13,-1,-2,0,0,1
NA1_5283794933,1802,38,3,3,0,1,1
NA1_5283767657,-1775,-34,-4,-1,0,-1,0
NA1_5283752629,-2249,-62,-4,2,0,-1,0
NA1_5283725476,0,21,-1,-1,0,0,0
NA1_5283712827,-85,0,0,-2,0,-1,0
NA1_5283690725,233,23,1,0,0,1,1
NA1_5283675175,-145,-45,0,-3,0,0,1
NA1_5283337041,-1069,-19,-2,3,0,0,1
NA1_5283310957,-687,-30,-2,3,0,0,0
NA1_5283279431,1767,-8,4,6,0,1,0
NA1_5282710135,-685,-47,0,-2,0,1,0
NA1_5282683082,1899,71,1,2,0,0,1
NA1_5282662288,-3547,-32,-9,-10,0,-1,0
NA1_5282099384,-3258,-60,-3,-4,0,0,1
NA1_5282064525,-209,27,-5,0,0,-1,1
NA1_5281808089,-624,-6,-3,-1,0,-1,1
NA1_5281480137,-1442,2,-5,-6,0,0,0
NA1_5281446237,2707,-7,8,8,0,1,1
NA1_5281418815,-459,-5,0,0,0,-1,0
NA1_5281333446,-3428,-33,-7,-5,0,-1,0
NA1_5276460968,-489,19,0,-2,0,1,0
NA1_5276445510,-925,14,-3,-2,0,-1,1
NA1_5276412273,-2554,16,-6,-5,0,1,1
NA1_5276397245,2536,15,3,2,0,0,0
NA1_5275822371,461,15,0,-1,0,-1,0
NA1_5275218450,1907,-3,5,3,0,1,1
NA1_5275084547,1649,32,2,4,0,-1,0
NA1_5275070702,-1359,-89,1,2,0,-1,0
NA1_5275028575,627,-9,1,1,0,0,0
NA1_5275019569,-3302,-54,-7,-8,0,0,0
NA1_5275008298,962,16,2,-1,0,1,1
NA1_5274990879,-203,3,0,2,0,1,0
NA1_5274308911,-169,-18,0,0,0,1,0
NA1_5273856397,-1144,10,-1,-11,0,0,0
NA1_5273827589,2235,10,5,4,0,-1,0
NA1_5273783410,3411,48,6,5,0,-1,1
NA1_5273332416,497,7,1,-4,0,1,1
NA1_5271795374,-886,-10,-3,-3,0,0,1
NA1_5271787050,160,7,2,4,0,-1,0
NA1_5271768028,-1782,-61,-2,3,0,1,0
NA1_5283760933,-985,-55,2,8,0,1,0
NA1_5283652593,148,16,3,0,0,1,1
NA1_5283632288,820,19,3,0,0,-1,1
NA1_5283262379,-1262,14,-3,-2,0,0,1
NA1_5283156314,40,-43,2,6,0,-1,1
NA1_5283139583,1270,10,4,7,0,1,1
NA1_5283116534,-2250,-27,-3,-3,0,1,0
NA1_5282680243,1688,66,0,-9,0,1,1
NA1_5281981352,2077,39,4,-2,0,0,1
NA1_5281735160,1739,-16,5,6,0,0,1
NA1_5281706796,-70,-6,-2,2,0,0,1
NA1_5281480544,-551,29,-4,-7,0,-1,0
NA1_5281451461,4260,31,7,10,0,0,1
NA1_5281325344,-6729,-98,-11,-7,0,-1,0
NA1_5280675558,-977,-46,-1,1,0,0,0
NA1_5280476180,355,-22,1,4,0,-1,1
NA1_5280435272,694,24,1,3,0,1,0
NA1_5280375969,-3874,-38,-7,-4,0,-1,0
NA1_5279963054,260,24,0,-3,0,-1,1
NA1_5279849875,-2100,-42,-3,-6,0,0,1
NA1_5283399874,244,40,-1,-3,0,1,0
NA1_5283208688,579,33,0,1,0,1,1
NA1_5282841349,-1744,-45,-4,-4,0,1,1
NA1_5282820174,3072,14,5,9,0,1,1
NA1_5282223632,1803,47,4,-1,0,0,1
NA1_5276808404,927,-8,3,2,0,1,1
NA1_5276775005,1073,1,5,5,0,1,1
NA1_5276742472,-1510,-29,-3,-3,0,-1,0
NA1_5274938688,-1131,-11,-3,-2,0,0,0
NA1_5274886177,-2539,-40,-2,-1,0,1,0
NA1_5274862001,274,7,1,0,0,1,1
